,X,Sample.ID,vcf_ID,vcf_order,Region,Ecotype,Wild.Sel,Pop,Temp,Sal,Pop.ID,Sample.ID.1,Length,Sex,NOTES,wildNtoS,custom.id,color,plot.id,atlantic.wild.subset,atlantic.selection.subset,exclude.LM,unrelated,envi.assoc
75,44,SL_3,SL_3,75,Louisiana,NA,W,Sister Lake,NA,NA,SL,3,128,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,0,0,1,1,1
76,45,SL_4,SL_4,76,Louisiana,NA,W,Sister Lake,NA,NA,SL,4,110,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,0,0,1,1,1
77,46,SL_5,SL_5,77,Louisiana,NA,W,Sister Lake,NA,NA,SL,5,112,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,0,0,1,1,1
78,47,SL_6,SL_6,78,Louisiana,NA,W,Sister Lake,NA,NA,SL,6,122,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,0,0,1,1,1
79,33,SM_10,SM_10,79,Maine,Low,W,Sherman Marsh,NA,NA,SM,10,143,F,NOT A LOT OF EGGS,2,02_Maine_SM,#77c442,Maine_SM,1,0,1,1,1
80,34,SM_11,SM_11,80,Maine,Low,W,Sherman Marsh,NA,NA,SM,11,223,F,NOT A LOT OF EGGS,2,02_Maine_SM,#77c442,Maine_SM,1,0,1,1,1
81,35,SM_12,SM_12,81,Maine,Low,W,Sherman Marsh,NA,NA,SM,12,155,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL,2,02_Maine_SM,#77c442,Maine_SM,1,0,1,1,1
82,30,SM_7,SM_7,82,Maine,Low,W,Sherman Marsh,NA,NA,SM,7,117,M,NA,2,02_Maine_SM,#77c442,Maine_SM,1,0,1,1,1
83,31,SM_8,SM_8,83,Maine,Low,W,Sherman Marsh,NA,NA,SM,8,83,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL,2,02_Maine_SM,#77c442,Maine_SM,1,0,1,1,1
84,32,SM_9,SM_9,84,Maine,Low,W,Sherman Marsh,NA,NA,SM,9,147,M,NA,2,02_Maine_SM,#77c442,Maine_SM,1,0,1,1,1
85,24,UMFS_1,UMFS_1,85,Maine,Selected,S,UMFS,NA,NA,UMFS,1,114,M,NA,NA,13_Maine_Sel_UMFS,#76b6c4,Maine_Sel_UMFS,0,1,1,1,0
86,25,UMFS_2,UMFS_2,86,Maine,Selected,S,UMFS,NA,NA,UMFS,2,111,M,NA,NA,13_Maine_Sel_UMFS,#76b6c4,Maine_Sel_UMFS,0,1,1,1,0
87,26,UMFS_3,UMFS_3,87,Maine,Selected,S,UMFS,NA,NA,UMFS,3,104,F,NA,NA,13_Maine_Sel_UMFS,#76b6c4,Maine_Sel_UMFS,0,1,1,1,0
88,27,UMFS_4,UMFS_4,88,Maine,Selected,S,UMFS,NA,NA,UMFS,4,146,M,NA,NA,13_Maine_Sel_UMFS,#76b6c4,Maine_Sel_UMFS,0,1,1,1,0
89,28,UMFS_5,UMFS_5,89,Maine,Selected,S,UMFS,NA,NA,UMFS,5,116,M,NA,NA,13_Maine_Sel_UMFS,#76b6c4,Maine_Sel_UMFS,0,1,1,1,0
90,29,UMFS_6,UMFS_6,90,Maine,Selected,S,UMFS,NA,NA,UMFS,6,126,F,NA,NA,13_Maine_Sel_UMFS,#76b6c4,Maine_Sel_UMFS,0,1,1,1,0
